2018-01-12 00:00:00	CNNW	16	CNNW_20180111_230000_Situation_Room_With_Wolf_Blitzer/start/3600	NEW INFO ON PROBE OF ISIS AMBUSH OF U.S. TROOPS IN NIGER\nSOURCE: TRUMP DOESN'T WANT IMMIGRANTS FROM \"SHITHOLE COUNTRIES\
2018-01-12 00:00:00	FOXNEWSW	33	FOXNEWSW_20180111_230000_Special_Report_With_Bret_Baier/start/3600	'T: OBAMA ADMIN TIPPED OFF IRANIAN TERRORIST .-. . . . r n\niROWING DEBATE OVER POSSIBILITY OBAMA ADMIN. SAVE PASSES TO TERRORISTS TO SECURE IRAN DEAL. . r a
2018-01-12 00:00:00	MSNBCW	17	MSNBCW_20180111_230000_The_Beat_With_Ari_Melber/start/3600	TRUMP ATTACKS PROTECT IONS FOR. IMMIGRANTS FROM \"SHITHOI F COUNTDIFS\
2018-01-12 00:02:00	CNNW	49	CNNW_20180112_000000_Erin_Burnett_OutFront/start/120	SOURCE: TRUMP DOESN'T WANT IMMIGRANTS FROM \"SHITHOLE COUNTRIES\"\nSOURCE: TRUMP DOESN'T WANT IMMIGRANTS FROM \"SHITHOLE COUNTRIES\". . Sara Murrav OW White House Correspondent
2018-01-12 00:02:00	FOXNEWSW	62	FOXNEWSW_20180112_000000_The_Story_With_Martha_MacCallum/start/120	RPT: OBAMA ADMIN WARNED IRANIAN TERRORIST. THAT ISRAEL PLANNED TO ASSASSINATE HIM. . W
2018-01-12 00:02:00	MSNBCW	34	MSNBCW_20180112_000000_Hardball_With_Chris_Matthews/start/120	TRUMP ASKED \"WHY ARE WE HAVING ALL THESE. DFODI F FROM SHITHOI F COUNTPIFS COMF HFDF?\"\nTRUMP ATTACKS PROTECT IONS FOR. IMMIGRANTS FROM \"SHITHOI F COUNTDIFS\
2018-01-12 00:03:00	FOXNEWSW	20	FOXNEWSW_20180112_000000_The_Story_With_Martha_MacCallum/start/180	TWITTER WAR ERUPTS BETWEEN JOURNALIST,. )BAMA ADMIN OFFICIAL OVER EXPLOSIVE IRAN RPT. . r a\nT\" MARC THIESSEN '1 FOX NEWS CONTRIBUTOR. . RPT: OBAMA ADMIN WARNED IRANIAN TERRORIST. THAT mun DI ANNFn Tn ACQACCINATF HIM T;\nRPT:...
2018-01-12 00:03:00	MSNBCW	28	MSNBCW_20180112_000000_Hardball_With_Chris_Matthews/start/180	TRUMP: WE SHOULD HAVE MORE PEOPLE. FROM COUNTDIFS I \"(F NORWAY\nTRUMP ASKS LAWMAKERS WHY U.S. ALLOWS. IMMIGRANTS FROM \"SHITHOI F COUNTDIFS\"\nTRUMP ATTACKS PROTECT IONS FOR. IMMIGRANTS FROM \"SHITHOI F...
2018-01-12 00:04:00	BBCNEWS	11	BBCNEWS_20180112_000000_Newsday/start/240	NEWSDAV' unw-\nASIF BABA. Father of Ayesha Asif
2018-01-12 00:05:00	FOXNEWSW	18	FOXNEWSW_20180112_000000_The_Story_With_Martha_MacCallum/start/300	n- MARC THIESSEN l FMR BUSH 43 CHIEF SPEECHWRITER. . RPT: OBAMA ADMIN WARNED IRANIAN TERRORIST. THAT IcpAFI DI ANNFn Tn ACQACCINATF HIM T;
